PLAYER,TEAM,POS,AGE,GP_games_played,MPG_min_per_game,FTA_free_throws_attempted,FT_PCT,TWO_PA,TWO_P_PCT,THREE_PA,THREE_P_PCT,POINTS_PER_GAME,REBOUNDS_PER_GAME,ASSISTS_PER_GAME,STEALS_PER_GAME,BLOCKS_PER_GAME,TURNOVERS_PER_GAME
Jaylen Brown,Bos,F-G,23.81,57,33.9,243,0.724,549,0.543,338,0.382,20.3,6.4,2.1,1.16,0.35,2.19
Carsen Edwards,Bos,G,22.43,37,9.5,19,0.684,52,0.346,76,0.316,3.3,1.3,0.6,0.32,0.11,0.41
Tacko Fall,Bos,C,24.68,7,4.6,3,0.333,14,0.786,0,0,3.3,2.1,0.1,0.29,0.57,0.43
Javonte Green,Bos,G-F,27.06,48,9.7,42,0.667,93,0.581,33,0.273,3.4,1.9,0.5,0.5,0.17,0.48
Gordon Hayward,Bos,F,30.4,52,33.5,145,0.855,478,0.554,222,0.383,17.5,6.7,4.1,0.73,0.42,1.85
Enes Kanter,Bos,C,28.24,58,17,99,0.707,341,0.581,7,0.143,8.1,7.4,1,0.4,0.71,0.97
Romeo Langford,Bos,G-F,20.81,32,11.6,25,0.72,53,0.434,27,0.185,2.5,1.3,0.4,0.22,0.25,0.34
Semi Ojeleye,Bos,F,25.69,69,14.6,32,0.875,69,0.464,127,0.378,3.4,2.1,0.5,0.3,0.07,0.28
Vincent Poirier,Bos,C-F,26.8,22,5.9,7,0.857,34,0.471,2,0.5,1.9,2,0.4,0.09,0.41,0.36
Marcus Smart,Bos,G,26.44,60,32,152,0.836,287,0.415,395,0.347,12.9,3.8,4.9,1.67,0.48,1.73
Jayson Tatum,Bos,F-G,22.45,66,34.3,313,0.812,758,0.479,469,0.403,23.4,7,3,1.42,0.86,2.33
Daniel Theis,Bos,F,28.36,65,24.1,114,0.763,330,0.633,96,0.333,9.2,6.5,1.7,0.57,1.29,0.83
Kemba Walker,Bos,G,30.27,56,31.1,242,0.864,416,0.476,473,0.381,20.4,3.9,4.8,0.86,0.5,2.09
Brad Wanamaker,Bos,G,31.06,71,19.3,136,0.926,260,0.481,102,0.363,6.9,2,2.5,0.85,0.21,1.07
Tremont Waters,Bos,G,22.59,11,10.8,8,1,25,0.4,24,0.167,3.6,1.1,1.5,0.91,0.18,1.36
Robert Williams III,Bos,C-F,22.83,29,13.4,34,0.647,88,0.727,0,0,5.2,4.4,0.9,0.79,1.21,0.69
Grant Williams,Bos,F,21.71,69,15.1,54,0.722,115,0.548,96,0.25,3.4,2.6,1,0.43,0.52,0.72