"NAME","yr","win","loss","PPG","FG_PCT","Three_Pt_FG_PCT","FT_PCT","Rebounds_PG","Assists_PG"
"Oral Roberts",2010,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2010,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2010,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2010,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2010,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2010,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2010,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2010,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2010,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2010,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2010,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2010,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2010,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2010,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2010,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2010,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2010,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2010,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2010,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2010,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2010,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2010,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2010,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2010,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2010,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2010,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2010,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2010,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2010,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2010,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2010,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2010,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2010,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2010,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2010,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2010,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2010,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2010,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2010,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2010,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2010,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2010,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2010,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2010,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2010,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2010,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2010,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2010,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2010,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2010,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2011,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2011,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2011,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2011,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2011,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2011,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2011,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2011,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2011,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2011,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2011,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2011,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2011,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2011,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2011,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2011,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2011,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2011,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2011,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2011,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2011,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2011,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2011,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2011,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2011,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2011,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2011,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2011,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2011,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2011,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2011,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2011,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2011,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2011,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2011,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2011,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2011,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2011,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2011,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2011,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2011,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2011,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2011,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2011,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2011,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2011,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2011,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2011,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2011,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2011,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2012,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2012,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2012,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2012,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2012,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2012,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2012,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2012,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2012,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2012,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2012,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2012,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2012,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2012,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2012,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2012,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2012,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2012,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2012,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2012,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2012,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2012,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2012,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2012,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2012,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2012,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2012,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2012,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2012,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2012,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2012,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2012,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2012,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2012,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2012,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2012,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2012,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2012,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2012,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2012,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2012,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2012,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2012,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2012,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2012,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2012,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2012,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2012,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2012,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2012,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2013,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2013,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2013,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2013,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2013,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2013,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2013,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2013,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2013,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2013,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2013,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2013,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2013,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2013,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2013,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2013,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2013,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2013,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2013,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2013,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2013,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2013,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2013,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2013,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2013,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2013,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2013,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2013,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2013,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2013,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2013,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2013,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2013,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2013,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2013,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2013,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2013,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2013,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2013,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2013,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2013,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2013,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2013,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2013,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2013,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2013,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2013,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2013,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2013,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2013,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2014,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2014,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2014,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2014,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2014,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2014,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2014,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2014,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2014,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2014,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2014,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2014,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2014,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2014,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2014,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2014,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2014,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2014,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2014,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2014,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2014,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2014,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2014,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2014,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2014,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2014,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2014,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2014,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2014,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2014,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2014,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2014,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2014,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2014,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2014,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2014,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2014,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2014,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2014,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2014,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2014,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2014,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2014,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2014,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2014,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2014,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2014,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2014,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2014,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2014,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2015,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2015,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2015,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2015,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2015,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2015,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2015,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2015,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2015,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2015,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2015,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2015,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2015,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2015,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2015,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2015,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2015,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2015,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2015,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2015,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2015,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2015,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2015,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2015,"27","7",73.4,42.6,38.7,75.3,43.3,17
