"NAME","yr","win","loss","PPG","FG_PCT","Three_Pt_FG_PCT","FT_PCT","Rebounds_PG","Assists_PG"
"Fresno St.",2015,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2015,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2015,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2015,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2015,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2015,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2015,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2015,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2015,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2015,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2015,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2015,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2015,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2015,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2015,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2015,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2015,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2015,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2015,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2015,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2015,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2015,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2015,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2015,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2015,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2015,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2016,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2016,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2016,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2016,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2016,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2016,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2016,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2016,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2016,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2016,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2016,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2016,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2016,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2016,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2016,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2016,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2016,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2016,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2016,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2016,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2016,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2016,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2016,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2016,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2016,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2016,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2016,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2016,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2016,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2016,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2016,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2016,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2016,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2016,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2016,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2016,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2016,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2016,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2016,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2016,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2016,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2016,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2016,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2016,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2016,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2016,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2016,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2016,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2016,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2016,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2017,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2017,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2017,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2017,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2017,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2017,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2017,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2017,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2017,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2017,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2017,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2017,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2017,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2017,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2017,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2017,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2017,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2017,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2017,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2017,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2017,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2017,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2017,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2017,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2017,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2017,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2017,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2017,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2017,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2017,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2017,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2017,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2017,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2017,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2017,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2017,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2017,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2017,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2017,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2017,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2017,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2017,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2017,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2017,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2017,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2017,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2017,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2017,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2017,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2017,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2018,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2018,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2018,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2018,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2018,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2018,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2018,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2018,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2018,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2018,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2018,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2018,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2018,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2018,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2018,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2018,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2018,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2018,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2018,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2018,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2018,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2018,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2018,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2018,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2018,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2018,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2018,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2018,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2018,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2018,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2018,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2018,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2018,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2018,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2018,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2018,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2018,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2018,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2018,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2018,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2018,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2018,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2018,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2018,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2018,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2018,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2018,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2018,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2018,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2018,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2019,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2019,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2019,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2019,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2019,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2019,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2019,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2019,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2019,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2019,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2019,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2019,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2019,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2019,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2019,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2019,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2019,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2019,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2019,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2019,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2019,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2019,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2019,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2019,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2019,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2019,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2019,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2019,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2019,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2019,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2019,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2019,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2019,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2019,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2019,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2019,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2019,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2019,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2019,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2019,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2019,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2019,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2019,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2019,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2019,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2019,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2019,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2019,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2019,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2019,"21","12",70.2,43.7,35.6,77.5,44,15.7
"Oral Roberts",2020,"23","10",85.1,43,36,74.7,45.7,16
"Connecticut",2020,"35","0",82.1,52.2,36.6,73.2,43.9,19.9
"Oregon",2020,"18","15",82.1,43.3,36,75.1,44.7,15.2
"Middle Tenn.",2020,"25","6",80.8,46,37,74.1,42.6,17.8
"Gonzaga",2020,"29","4",80.7,47.7,37.3,73.7,41.5,19.3
"Sacramento St.",2020,"15","15",79.1,45.6,38.9,75,41.8,17.4
"Stephen F. Austin",2020,"18","11",78.3,44.7,36,75.6,44.3,15.2
"Ohio St.",2020,"31","5",78,45.8,40.2,76.1,40.8,17.2
"East Tenn. St.",2020,"23","9",77.8,45.2,35.8,74.9,44.1,16.3
"Stanford",2020,"33","1",77.7,47.6,36.7,73.5,44.7,17.9
"Nebraska",2020,"32","1",77.7,46,38.6,77.6,39,16.6
"Notre Dame",2020,"29","5",77.3,45.4,38.7,74.9,41.7,18.2
"Missouri St.",2020,"22","10",76.8,43.5,36.9,75.8,44.1,15
"North Carolina",2020,"19","12",76.5,43.2,35.8,75.3,46.8,15.4
"Texas A&M",2020,"26","8",75.5,45.9,35.6,75.7,43.8,16.2
"Lamar",2020,"26","8",75,45.2,38.1,74.6,41.9,17.3
"Miami (FL)",2020,"19","13",75,43.2,36,75.5,44.4,15.6
"Tennessee",2020,"32","2",74.6,46.5,37.8,75.7,43.4,15.8
"Florida St.",2020,"28","5",74.5,44.5,38.2,75.5,41.9,15.6
"Kentucky",2020,"27","7",74.1,43.3,35.8,75.3,44.7,15.4
"Louisiana Tech",2020,"23","9",73.8,43.2,36,75.7,44.3,15.6
"South Dakota St.",2020,"22","11",73.6,46.2,38.2,77.5,39.4,16.5
"Texas",2020,"22","11",73.5,45.2,36.4,74.7,42.5,16
"Bowling Green",2020,"27","7",73.4,42.6,38.7,75.3,43.3,17
"Fresno St.",2020,"27","7",72.9,43.7,35.2,75.4,44.6,15.4
"Oklahoma St.",2020,"24","11",72.6,43.7,35.2,75.4,44.6,15.4
"Xavier",2020,"29","3",72.4,44.8,35.5,76.4,44.2,15.8
"TCU",2020,"22","9",72.1,43.1,35.5,75.3,45.6,15.4
"Montana St.",2020,"18","14",72.1,43.1,35.5,75.3,45.6,15.4
"Syracuse",2020,"24","10",72,43.1,35.5,75.3,45.6,15.4
"Eastern Mich.",2020,"22","9",71.8,43.1,35.9,75.2,45.4,15.7
"Cal Poly",2020,"18","11",71.8,44.9,38.8,74.8,41.9,18.3
"N.C. A&T",2020,"23","10",71.8,43.1,35.9,75.2,45.4,15.7
"Sam Houston St.",2020,"11","18",71.7,45.6,37,74.3,42.1,16.2
"Central Mich.",2020,"12","18",71.6,44.7,37.8,74.2,41.9,16.8
"East Carolina",2020,"23","11",71.5,45.7,37.6,78.3,39.6,15.9
"Green Bay",2020,"28","5",71.4,46.1,35.8,76.4,41.5,18.2
"Baylor",2020,"25","9",71.3,46.2,36.4,74.9,43.1,14.8
"Mississippi",2020,"17","15",71.3,46.2,36.4,74.9,43.1,14.8
"Duke",2020,"29","5",71.3,46,36.4,74.9,43.1,14.8
"Oklahoma",2020,"25","10",71.3,42.8,37,73.2,45.3,17.1
"Dayton",2020,"25","8",71.2,46,36.4,74.8,42.5,14.9
"James Madison",2020,"26","7",70.8,44.8,35.8,75.1,43.8,15.3
"Murray St.",2020,"13","17",70.7,43.9,35.3,77.7,40.9,15.4
"Mississippi St.",2020,"21","12",70.7,45.3,36,77.4,41.5,14.8
"Princeton",2020,"26","3",70.7,43.9,35.5,77.7,40.9,15.4
"Boise St.",2020,"19","12",70.4,45.4,36,77.4,41.4,14.8
"St. John's (NY)",2020,"25","7",70.2,45.4,36,77.4,41.4,14.8
"Illinois St.",2020,"26","7",70.2,44.7,35.5,81,39.2,15.5
"Maryland",2020,"21","12",70.2,43.7,35.6,77.5,44,15.7
